,Team,W,D,L,P
11,Sollentuna Scientists,13,12,5,53
15,Vasteras Vampires,12,10,8,52
12,Stockholm Sandwiches,10,12,8,49
9,Orebro Oysters,14,6,10,49
14,Uppsala Ultimates,15,4,11,46
3,Helsingborg Hammers,13,10,7,44
7,Malmo Monsters,12,4,14,40
2,Goteborg Gamers,10,10,10,39
8,Norrkoping Noobs,11,6,13,38
5,Linkoping Lieutenants,12,6,12,38
4,Jonkoping Jetlags,7,14,9,37
1,Gavle Gansters,8,12,10,36
13,Umea Umbrellas,9,10,11,35
6,Lund Lawyers,9,7,14,35
0,Boras Bachelors,8,9,13,34
10,Sodertalje Swimmers,8,6,16,33
