,Team,W,D,L,P
12,Stockholm Sandwiches,18,10,2,52
4,Jonkoping Jetlags,14,6,10,44
14,Uppsala Ultimates,12,7,11,43
7,Malmo Monsters,17,7,6,43
2,Goteborg Gamers,13,7,10,43
9,Orebro Oysters,11,9,10,41
5,Linkoping Lieutenants,9,9,12,40
15,Vasteras Vampires,14,6,10,39
11,Sollentuna Scientists,12,7,11,39
8,Norrkoping Noobs,13,3,14,39
6,Lund Lawyers,9,10,11,39
3,Helsingborg Hammers,13,7,10,38
1,Gavle Gansters,8,7,15,35
0,Boras Bachelors,4,12,14,28
13,Umea Umbrellas,8,9,13,27
10,Sodertalje Swimmers,4,6,20,26
