,Team,W,D,L,P
12,Stockholm Sandwiches,15,8,7,45
11,Sollentuna Scientists,14,8,8,45
15,Vasteras Vampires,14,8,8,44
4,Jonkoping Jetlags,13,9,8,43
14,Uppsala Ultimates,11,11,8,42
8,Norrkoping Noobs,12,10,8,41
5,Linkoping Lieutenants,12,8,10,41
9,Orebro Oysters,10,10,10,39
7,Malmo Monsters,9,9,12,36
13,Umea Umbrellas,13,6,11,32
2,Goteborg Gamers,10,9,11,32
3,Helsingborg Hammers,10,7,13,31
1,Gavle Gansters,7,9,14,31
6,Lund Lawyers,8,8,14,30
0,Boras Bachelors,5,10,15,29
10,Sodertalje Swimmers,7,10,13,28
