,Team,W,D,L,P
2,Goteborg Gamers,18,10,2,57
3,Helsingborg Hammers,18,6,6,53
5,Linkoping Lieutenants,14,7,9,44
14,Uppsala Ultimates,15,7,8,42
7,Malmo Monsters,14,9,7,42
13,Umea Umbrellas,12,6,12,40
6,Lund Lawyers,8,6,16,37
12,Stockholm Sandwiches,11,10,9,35
11,Sollentuna Scientists,11,11,8,35
15,Vasteras Vampires,10,11,9,34
0,Boras Bachelors,5,12,13,32
9,Orebro Oysters,8,11,11,31
4,Jonkoping Jetlags,8,9,13,31
8,Norrkoping Noobs,8,4,18,30
1,Gavle Gansters,8,10,12,30
10,Sodertalje Swimmers,6,3,21,28
