,Team,W,D,L,P
11,Sollentuna Scientists,14,7,9,47
14,Uppsala Ultimates,13,12,5,46
2,Goteborg Gamers,14,12,4,45
12,Stockholm Sandwiches,16,9,5,44
4,Jonkoping Jetlags,11,9,10,43
5,Linkoping Lieutenants,9,12,9,42
3,Helsingborg Hammers,11,11,8,42
13,Umea Umbrellas,12,7,11,39
15,Vasteras Vampires,13,7,10,37
0,Boras Bachelors,12,8,10,35
6,Lund Lawyers,10,5,15,34
8,Norrkoping Noobs,11,8,11,33
7,Malmo Monsters,10,7,13,31
1,Gavle Gansters,8,7,15,28
10,Sodertalje Swimmers,1,8,21,24
9,Orebro Oysters,5,11,14,21
