,Team,W,D,L,P
12,Stockholm Sandwiches,15,9,6,56
14,Uppsala Ultimates,17,6,7,44
2,Goteborg Gamers,16,6,8,43
4,Jonkoping Jetlags,12,7,11,41
11,Sollentuna Scientists,9,12,9,39
9,Orebro Oysters,15,7,8,39
6,Lund Lawyers,9,10,11,39
3,Helsingborg Hammers,7,9,14,38
5,Linkoping Lieutenants,13,4,13,37
15,Vasteras Vampires,10,8,12,36
8,Norrkoping Noobs,10,4,16,35
0,Boras Bachelors,10,7,13,34
7,Malmo Monsters,12,4,14,33
1,Gavle Gansters,11,9,10,32
13,Umea Umbrellas,9,6,15,30
10,Sodertalje Swimmers,6,10,14,27
