,Team,W,D,L,P
15,Vasteras Vampires,14,5,11,44
2,Goteborg Gamers,13,8,9,42
4,Jonkoping Jetlags,14,6,10,41
12,Stockholm Sandwiches,15,6,9,39
11,Sollentuna Scientists,10,10,10,38
8,Norrkoping Noobs,11,12,7,38
9,Orebro Oysters,11,11,8,37
3,Helsingborg Hammers,14,5,11,37
10,Sodertalje Swimmers,7,11,12,36
13,Umea Umbrellas,10,9,11,35
14,Uppsala Ultimates,10,13,7,34
1,Gavle Gansters,10,8,12,34
5,Linkoping Lieutenants,8,11,11,33
0,Boras Bachelors,4,10,16,31
7,Malmo Monsters,11,11,8,30
6,Lund Lawyers,5,10,15,30
