,Team,W,D,L,P
2,Goteborg Gamers,16,4,10,53
12,Stockholm Sandwiches,15,6,9,46
11,Sollentuna Scientists,18,6,6,45
5,Linkoping Lieutenants,14,7,9,43
7,Malmo Monsters,14,6,10,42
6,Lund Lawyers,10,8,12,37
14,Uppsala Ultimates,17,3,10,36
8,Norrkoping Noobs,12,5,13,36
9,Orebro Oysters,12,4,14,35
3,Helsingborg Hammers,11,7,12,34
15,Vasteras Vampires,12,11,7,30
1,Gavle Gansters,8,7,15,29
10,Sodertalje Swimmers,8,11,11,28
0,Boras Bachelors,8,8,14,28
13,Umea Umbrellas,3,11,16,27
4,Jonkoping Jetlags,6,8,16,25
