,Team,W,D,L,P
4,Jonkoping Jetlags,15,8,7,50
12,Stockholm Sandwiches,16,6,8,46
3,Helsingborg Hammers,10,12,8,46
2,Goteborg Gamers,14,6,10,46
5,Linkoping Lieutenants,11,6,13,43
7,Malmo Monsters,12,4,14,42
11,Sollentuna Scientists,10,11,9,41
8,Norrkoping Noobs,15,8,7,41
9,Orebro Oysters,15,7,8,39
14,Uppsala Ultimates,13,8,9,35
15,Vasteras Vampires,11,6,13,34
6,Lund Lawyers,6,9,15,33
10,Sodertalje Swimmers,9,6,15,31
13,Umea Umbrellas,8,4,18,29
1,Gavle Gansters,8,7,15,29
0,Boras Bachelors,10,6,14,27
