,Team,W,D,L,P
11,Sollentuna Scientists,16,6,8,50
12,Stockholm Sandwiches,17,5,8,49
2,Goteborg Gamers,15,8,7,49
14,Uppsala Ultimates,15,9,6,43
7,Malmo Monsters,13,11,6,43
3,Helsingborg Hammers,12,8,10,41
5,Linkoping Lieutenants,13,5,12,39
9,Orebro Oysters,12,8,10,37
0,Boras Bachelors,10,9,11,37
15,Vasteras Vampires,11,7,12,35
10,Sodertalje Swimmers,7,6,17,34
6,Lund Lawyers,7,5,18,34
13,Umea Umbrellas,9,10,11,33
8,Norrkoping Noobs,10,6,14,32
4,Jonkoping Jetlags,9,5,16,32
1,Gavle Gansters,5,10,15,32
